asymmetric_0.5.tree,asymmetric_0.5.tree_reduced
6,4
14,16
6,10
10,8
8,8
12,12
8,10
14,14
6,8
8,6
8,10
8,8
10,8
8,6
12,18
10,10
6,6
10,10
10,12
6,6
6,6
8,6
6,6
10,6
10,10
10,8
6,4
4,2
10,10
10,10
10,10
6,6
4,6
12,10
8,4
8,8
6,8
8,4
4,4
8,8
6,6
4,4
6,4
8,8
6,8
6,10
8,4
8,8
8,8
10,8
2,2
8,8
8,12
4,4
6,6
10,10
8,8
8,6
12,12
18,18
8,2
6,6
6,4
8,6
8,10
10,12
8,6
8,8
2,4
10,10
10,10
8,8
8,4
6,6
6,8
8,8
14,12
6,6
8,8
4,4
6,6
2,6
6,6
8,8
8,6
6,8
8,10
6,8
4,6
6,6
6,6
8,10
10,10
8,8
8,10
10,6
6,10
10,10
12,14
8,10
10,10
10,10
12,10
12,10
2,4
6,8
6,6
6,6
4,4
8,10
6,6
12,10
10,12
6,4
6,8
6,6
6,6
4,2
6,4
8,8
8,8
8,8
8,8
12,8
6,6
8,8
8,8
4,4
8,10
12,10
8,10
12,12
4,4
6,6
8,6
12,14
6,6
6,6
10,10
8,8
6,6
8,8
4,4
8,8
8,8
6,6
4,4
6,6
6,6
6,6
8,8
4,4
8,6
4,8
4,4
10,10
10,10
4,4
6,6
10,8
10,10
10,10
6,8
4,6
6,6
10,8
4,4
8,8
6,8
0,0
6,6
12,12
8,8
6,4
4,4
12,8
10,10
8,8
8,8
4,4
6,8
6,6
6,6
4,4
10,10
8,8
6,4
10,10
6,6
6,6
8,8
8,10
6,6
10,10
4,6
10,10
14,14
8,8
14,14
8,8
6,6
10,10
4,4
8,6
4,6
6,6
2,4
4,6
6,8
12,12
10,8
16,16
6,6
10,10
8,8
8,8
6,4
12,14
8,8
8,6
12,12
2,2
8,6
6,10
4,4
6,6
6,6
6,6
18,8
12,10
2,0
6,8
6,6
6,6
8,8
10,8
6,6
8,8
16,16
6,10
8,8
8,10
10,10
8,8
10,6
8,8
6,6
12,6
8,8
6,6
6,4
6,6
18,18
8,6
6,6
4,4
4,2
10,6
6,8
4,4
4,4
10,10
6,10
8,10
8,8
10,10
8,2
4,4
6,8
8,8
4,6
4,4
8,8
4,4
2,2
2,2
18,18
8,10
8,6
6,6
12,10
10,10
10,8
10,6
8,8
12,10
10,10
10,8
6,8
4,6
6,6
6,8
6,6
6,4
8,8
8,6
8,8
12,14
6,6
8,8
symmetric_1.0.tree,symmetric_1.0.tree_reduced
4,4
6,6
6,6
8,4
6,6
6,6
8,6
2,2
6,6
4,4
6,6
6,4
4,2
6,6
6,6
2,0
4,4
6,6
2,2
8,8
4,4
6,4
6,8
4,2
2,4
6,6
6,6
2,2
6,6
2,2
2,2
6,2
2,2
4,4
6,6
2,2
8,6
4,4
6,6
10,10
8,2
10,4
8,10
2,2
2,2
10,4
4,4
4,6
8,8
4,4
4,2
0,2
0,2
10,10
8,8
4,4
8,8
4,6
6,6
6,6
4,2
4,2
0,0
4,6
2,2
2,2
6,6
10,8
6,6
10,4
4,8
4,2
6,6
0,0
8,8
6,6
6,8
4,6
8,6
10,8
6,6
2,6
4,8
2,2
8,8
2,2
8,10
2,4
0,0
8,8
4,4
6,8
8,8
6,10
6,8
8,8
8,6
8,4
6,4
6,8
6,6
8,8
6,10
6,2
6,6
4,2
4,4
4,4
4,4
6,6
4,4
4,2
0,2
6,8
4,4
4,4
6,6
4,4
0,0
8,8
8,8
4,4
4,4
4,4
8,6
4,4
4,2
8,8
4,4
4,2
2,4
10,10
2,4
2,2
4,6
6,8
6,6
6,10
6,6
0,2
4,4
6,6
8,6
2,4
6,4
6,4
4,4
0,0
4,4
6,4
6,6
4,4
6,4
10,10
4,8
4,6
8,6
6,4
8,2
2,2
2,4
4,4
2,8
8,8
8,8
8,8
4,6
4,2
4,2
8,8
8,4
8,8
6,6
0,6
4,4
6,8
6,6
6,6
6,8
8,6
8,8
4,4
6,6
4,6
4,4
6,2
2,4
4,6
10,6
6,6
6,4
0,0
0,4
6,4
6,6
2,2
8,8
4,4
4,2
6,8
8,6
8,6
4,10
0,0
4,6
4,6
2,2
4,6
8,10
6,6
2,2
4,2
0,0
6,6
6,6
6,4
6,6
4,4
6,4
2,2
8,8
6,8
8,6
4,2
10,10
0,2
4,0
8,8
4,6
6,4
4,4
6,6
8,4
2,2
6,6
4,4
2,0
10,8
4,2
4,4
4,4
10,8
2,2
4,4
2,2
6,6
6,4
4,4
4,4
6,4
8,6
8,8
4,6
2,4
4,4
2,2
6,4
8,8
2,2
10,6
2,4
10,10
0,0
2,4
4,4
10,10
6,4
4,6
2,2
2,2
4,6
4,4
8,6
10,8
8,8
2,2
6,6
6,8
10,10
8,6
4,6
4,4
6,6
4,4
2,2
2,4
6,4
2,0
2,0
6,6
2,0
4,4
4,4
2,4
0,0
8,6
4,4
2,2
8,6
2,4
asymmetric_2.0.tree,asymmetric_2.0.tree_reduced
14,10
14,14
14,10
12,12
12,12
12,10
16,14
16,16
14,8
8,6
6,6
14,10
14,14
14,14
10,6
10,10
6,8
16,14
10,12
8,8
12,14
14,14
10,12
10,10
10,14
12,10
14,6
10,14
10,12
12,12
8,8
12,14
20,10
20,20
12,10
8,8
12,10
10,10
14,14
14,10
10,12
12,14
8,10
12,12
8,8
10,8
10,10
18,12
12,12
10,12
10,12
14,14
8,10
14,12
10,10
10,6
8,8
16,10
4,6
12,8
12,10
18,18
12,12
6,8
6,8
